Dataset,MajorityClass,Shrubland,Grassland,Bareland,Built-up,Wetland,Lichens_and_Mosses,Water,Cropland,Forest,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,Forest,54,74,133,68,114,21,61,31,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,Water,39,52,95,34,126,6,0,13,72,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,Bareland,1,0,0,4,3,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Forest,0,50,188,0,123,0,166,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Grassland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Water,0,17,147,0,41,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Wetland,0,3,16,0,0,0,13,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,Grassland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,Water,0,0,0,0,126,0,0,0,0,130,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,Forest,0,0,0,0,114,0,61,0,0,345,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,Bareland,0,0,0,0,3,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Grassland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Water,0,0,0,0,233,0,0,0,72,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Wetland,0,0,0,0,0,0,9,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Forest,0,5,0,0,334,0,251,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,Bareland,0,0,0,0,3,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Water,0,36,15,0,0,0,0,0,180,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Wetland,0,18,1,0,0,0,31,0,24,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Forest,0,95,15,0,0,0,190,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R,Bareland,0,2,0,0,0,0,8,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,Grassland,0,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,Wetland,0,0,0,0,0,0,33,0,43,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,Water,0,0,9,0,0,0,0,0,127,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,Bareland,0,0,0,0,0,0,6,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,Forest,0,0,0,0,0,0,199,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,Wetland,0,0,0,0,0,0,20,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,166,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,Bareland,0,0,0,0,0,0,5,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,Forest,0,0,0,0,0,0,179,0,0,0,157,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,Water,0,3,69,0,0,0,0,5,364,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,Wetland,0,0,4,0,0,0,7,0,62,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,Forest,0,0,0,0,0,0,2,0,0,0,0,0
