Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Shrubland,3,2,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Grassland,0,12,4,4,13,6,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Cropland,25,2,13,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Wetland,70,0,7,0,38,0,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Bareland,20,0,0,2,9,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Built-up,15,0,9,0,10,1,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Water,92,37,35,1,61,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R,Forest,58,14,16,9,0,3,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Grassland,0,12,0,0,0,0,5,36,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Forest,0,29,0,0,0,0,11,38,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Cropland,0,3,0,0,0,0,1,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Wetland,0,0,0,0,0,0,9,53,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Bareland,0,18,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Built-up,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,Water,0,46,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Grassland,0,0,0,0,0,0,22,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Wetland,0,0,0,0,0,0,45,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Water,0,0,0,0,0,0,0,0,67,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Forest,0,0,0,0,0,0,29,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Built-up,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,Bareland,0,0,0,0,0,0,13,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Cropland,27,3,5,11,11,0,1,0,0,22
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Wetland,25,0,0,0,23,0,9,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Bareland,12,18,0,8,6,2,3,0,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Built-up,6,1,3,0,5,1,1,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Water,48,46,4,9,36,4,0,0,0,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Forest,49,29,10,25,0,7,11,0,0,37
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,Grassland,0,12,3,7,16,3,5,0,0,16
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Grassland,0,23,0,14,20,29,18,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Wetland,0,0,1,2,16,10,30,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Bareland,0,0,0,4,4,10,23,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Built-up,0,0,1,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Water,0,44,7,13,15,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Forest,0,24,0,12,0,20,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,Cropland,0,0,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Wetland,21,0,12,0,40,3,31,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Bareland,1,0,0,0,1,2,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Built-up,1,0,5,0,8,3,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Water,18,14,22,0,46,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Forest,9,4,7,0,0,6,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Cropland,3,0,6,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,Grassland,0,5,9,0,12,6,8,0,0,0
