Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Non_Wetland,Non_Water,Built-up,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Grassland,0,3,1,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Cropland,6,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Wetland,16,0,3,11,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Water,22,12,6,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Forest,24,11,8,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Bareland,2,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Built-up,2,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKH_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKH_M_R,Grassland,0,2,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKH_M_R,Forest,0,16,0,0,9,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKH_M_R,Water,0,18,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKH_M_R,Wetland,0,0,0,0,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKH_M_R,Grassland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKH_M_R,Wetland,0,0,0,0,9,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKH_M_R,Forest,0,0,0,0,15,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKH_M_R,Water,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKH_M_R,Water,0,7,3,10,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKH_M_R,Grassland,0,0,1,8,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKH_M_R,Wetland,0,0,1,2,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKH_M_R,Forest,0,5,2,0,16,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKH_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Bareland,2,0,0,3,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Built-up,1,0,1,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Forest,20,16,5,0,9,0,0,2,15,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Grassland,0,2,0,3,1,0,0,0,4,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Water,7,18,3,10,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Cropland,2,0,1,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Wetland,3,0,0,1,1,0,0,0,3,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKH_M_R,Wetland,3,0,0,12,8,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKH_M_R,Water,6,2,4,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKH_M_R,Forest,2,3,2,0,4,0,0,0,0,4,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKH_M_R,Grassland,0,1,2,3,1,0,0,0,0,2,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKH_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
