Dataset,MajorityClass,Shrubland,Bareland,Built-up,Forest,Water,Wetland,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Grassland,9,8,3,11,1,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Non_Wetland,1,1,0,1,0,4,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Bareland,1,0,0,6,27,27,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Built-up,9,16,0,10,0,14,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Water,1,2,0,17,0,63,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Forest,27,36,9,0,54,118,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Shrubland,0,2,1,3,2,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Cropland,1,2,0,9,0,5,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Wetland,2,1,0,5,27,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Non_Wetland,0,1,0,1,1,4,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Shrubland,0,10,0,1,0,7,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Grassland,0,25,7,2,3,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Cropland,0,14,0,0,1,5,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Wetland,0,33,0,2,28,0,17,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Bareland,0,0,0,0,10,15,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Built-up,0,31,0,0,3,7,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Water,0,44,0,3,0,56,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Forest,0,121,13,0,53,76,121,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Wetland,0,0,0,0,1,0,0,0,80,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Shrubland,0,0,0,0,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Grassland,0,0,0,0,0,3,0,0,27,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Bareland,0,0,0,0,3,4,0,0,36,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Built-up,0,0,0,0,0,1,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Forest,0,0,0,0,10,31,0,0,174,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Cropland,0,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,Water,0,0,0,0,0,22,0,0,69,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Grassland,33,10,8,26,0,3,0,5,0,0,0
