Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Built-up,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Grassland,9,34,34,17,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Non_Wetland,0,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Water,0,147,6,34,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Forest,38,211,56,0,140,116,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Shrubland,0,1,5,4,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Cropland,0,1,6,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Wetland,0,0,2,4,53,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Built-up,0,2,12,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,Bareland,0,10,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Grassland,0,0,1,47,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Non_Wetland,0,0,0,3,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Wetland,0,0,8,64,80,61,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Water,0,0,30,195,0,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Shrubland,0,0,0,13,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Cropland,0,0,1,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Built-up,0,0,0,7,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Forest,0,0,2,0,40,109,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R,Bareland,0,0,0,1,29,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Grassland,0,2,0,0,1,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Wetland,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Forest,0,98,0,0,49,0,0,261,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Water,0,211,0,0,0,0,0,110,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Shrubland,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Cropland,0,0,0,0,0,0,0,7,0,0,0
