Dataset,MajorityClass,Bareland,Forest,Wetland,Grassland,Water,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,Forest,0,0,0,0,234,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,Water,0,0,0,0,0,0,173,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Grassland,1,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Bareland,0,157,138,72,69,59,0,104,7,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Forest,144,0,143,112,73,42,0,78,8,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Wetland,9,12,0,3,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Water,162,224,241,116,0,27,0,69,1,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Built-up,0,3,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Bareland,0,0,138,0,69,0,0,0,0,0,96,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Forest,0,0,143,0,73,0,0,0,0,0,463,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Water,0,0,241,0,0,0,0,0,0,0,217,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Bareland,0,142,23,0,191,119,0,0,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Water,117,103,24,0,0,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Forest,9,0,49,0,305,63,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Wetland,4,41,0,0,67,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Grassland,0,5,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Wetland,11,110,0,3,26,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Forest,41,0,5,6,56,0,0,0,1,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Bareland,0,73,26,1,91,0,0,0,0,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Water,111,350,17,4,0,0,0,0,1,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Grassland,0,10,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
