Dataset,MajorityClass,Bareland,Forest,Wetland,Grassland,Water,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Grassland,13,2,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Water,717,77,277,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Wetland,86,1,0,4,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Bareland,0,10,54,1,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Built-up,7,0,5,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Forest,489,0,354,46,129,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Grassland,0,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Bareland,0,355,2,205,214,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Wetland,2,131,0,27,49,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Built-up,0,4,0,5,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Water,32,489,0,197,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R,Forest,6,0,3,134,103,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Forest,313,0,201,136,232,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Water,513,48,99,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Wetland,76,3,0,10,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Grassland,11,0,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Bareland,0,10,9,13,80,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Built-up,10,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,Bareland,0,0,0,0,304,0,68,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,Wetland,0,0,0,0,35,0,15,0,0,0,0,0
