Dataset,MajorityClass,Grassland,Wetland,Shrubland,Cropland,Water,Bareland,Forest,Non_Wetland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Forest,196,267,54,29,118,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Grassland,0,59,7,1,7,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Shrubland,14,16,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Wetland,78,0,15,6,200,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Water,102,192,21,6,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Built-up,17,9,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,Bareland,7,5,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Grassland,0,7,0,0,2,0,0,119,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Wetland,0,0,0,0,41,0,0,115,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Shrubland,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Forest,0,122,0,0,69,0,0,472,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Water,0,197,0,0,0,0,0,137,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Built-up,0,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,Bareland,0,3,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Wetland,222,0,0,0,72,6,211,0,6,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Shrubland,24,0,0,0,0,1,18,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Grassland,0,8,0,0,0,4,32,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Forest,199,19,0,0,56,8,0,0,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Water,153,100,0,0,0,25,257,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Built-up,8,0,0,0,0,2,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,Bareland,4,0,0,0,10,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Grassland,0,7,65,0,2,0,40,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Forest,116,122,201,8,69,1,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Wetland,15,0,62,0,41,0,34,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Water,38,197,76,3,0,0,105,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Shrubland,2,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Built-up,0,0,11,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,Bareland,3,3,9,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Shrubland,7,9,0,0,0,1,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Grassland,0,64,13,0,2,11,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Wetland,69,0,14,0,139,0,41,0,0,0,0
