Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Shrubland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Shrubland,3,3,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Grassland,68,0,115,46,58,6,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Non_Wetland,2,2,2,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Built-up,3,10,1,23,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Water,15,54,273,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Forest,0,209,331,49,36,4,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Wetland,20,132,0,5,3,0,122,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,Cropland,18,43,5,4,18,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Shrubland,9,15,5,2,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Grassland,159,0,74,12,0,6,14,35,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Non_Wetland,5,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Wetland,466,616,0,28,0,3,168,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Bareland,25,44,21,0,0,2,7,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Built-up,42,51,0,7,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Water,414,296,229,65,0,0,0,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Cropland,49,71,9,5,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Lichens_and_Mosses,1,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Forest,0,365,125,13,0,7,54,35,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R,Permanent_ice_and_snow,10,15,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Forest,0,369,546,24,11,18,138,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Non_Wetland,0,2,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Grassland,0,0,212,29,15,11,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Wetland,15,192,0,64,2,0,229,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Shrubland,0,12,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Cropland,0,65,20,8,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Bareland,0,1,6,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Built-up,0,25,8,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Water,24,69,315,25,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Grassland,0,0,43,0,0,0,16,0,396,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Wetland,0,0,0,0,0,0,85,0,597,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Forest,0,0,199,0,0,0,82,0,891,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Shrubland,0,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Cropland,0,0,0,0,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Water,0,0,316,0,0,0,0,0,213,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Bareland,0,0,8,0,0,0,2,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Wetland,0,0,0,0,0,0,525,0,0,278,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Grassland,0,0,0,0,0,0,88,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Bareland,0,0,0,0,0,0,32,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Water,0,0,0,0,0,0,0,0,0,366,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Forest,0,0,0,0,0,0,253,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKM_M_R,Grassland,145,0,43,59,108,27,16,109,0,0,6,0
