Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Non_Water,Shrubland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Cropland,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Wetland,19,28,29,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Water,35,40,0,18,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Forest,17,0,17,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R,Built-up,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,Wetland,0,0,22,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,Water,0,0,0,0,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,Bareland,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,Forest,0,0,14,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Wetland,0,20,8,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Bareland,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Built-up,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Water,0,22,0,0,26,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Forest,2,0,5,2,13,0,24,3,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Grassland,0,3,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,Cropland,0,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,Wetland,0,0,8,0,0,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,Water,0,0,0,0,26,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,Forest,0,0,5,0,13,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,Water,0,12,0,13,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,Wetland,0,0,17,6,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,Forest,0,0,17,0,13,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,Grassland,0,2,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,Cropland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,Forest,2,0,8,0,1,0,0,2,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,Water,0,36,0,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,Wetland,0,16,9,0,0,0,0,0,0,0,0
