,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTQ_M_R,18362
AMAZON_EXTENSION_2024_WorldCover_2021_24LTQ_M_R,17805
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTQ_M_R,16874
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTQ_M_R,16303
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTQ_M_R,13772
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTQ_M_R,13183
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTQ_M_R,7858
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTQ_M_R,7414
