Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Shrubland,248,40,38,124,45,37,39,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Non_Wetland,7,0,0,8,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Grassland,0,80,43,138,34,10,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Bareland,146,26,0,53,18,26,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Water,430,4,201,371,1,0,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Forest,820,169,166,0,80,268,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Cropland,538,0,145,300,123,19,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Wetland,39,0,3,11,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Built-up,135,26,37,116,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Non_Wetland,2,0,1,3,0,3,11,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Shrubland,62,0,39,27,1,34,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Grassland,0,0,56,82,7,37,85,170,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Cropland,458,0,165,171,20,44,93,404,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Wetland,6,0,2,2,0,34,0,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Bareland,105,0,0,28,2,74,8,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Built-up,83,0,79,10,0,19,8,93,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Water,124,0,50,146,1,0,57,407,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Forest,449,0,292,0,36,541,379,974,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Wetland,0,0,0,0,0,9,0,0,118,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Grassland,0,0,0,0,0,8,7,0,162,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Forest,0,0,0,0,0,122,112,0,867,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Bareland,0,0,0,0,0,12,21,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Water,0,0,0,0,0,0,191,0,248,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Shrubland,0,0,0,0,0,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Cropland,0,0,0,0,0,4,0,0,192,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,Built-up,0,0,0,0,0,1,0,0,20,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Grassland,0,74,139,47,8,18,68,137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Non_Wetland,2,0,5,1,0,0,12,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Wetland,4,0,44,0,0,6,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Water,42,5,462,151,20,0,207,283,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Forest,461,126,795,0,40,244,508,674,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Bareland,60,21,0,0,0,7,6,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Shrubland,69,20,90,15,4,13,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Cropland,376,0,317,70,27,27,100,228,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,Built-up,112,15,111,10,0,5,11,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Grassland,0,387,7,180,81,8,7,382,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Wetland,0,16,2,31,1,9,0,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Bareland,0,259,0,36,104,12,21,136,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Water,5,464,55,232,68,0,191,369,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Forest,5,944,55,0,196,122,112,786,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Cropland,0,0,4,174,95,4,0,331,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Built-up,0,139,0,19,0,1,0,58,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,Shrubland,0,44,2,23,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Shrubland,0,0,0,0,0,16,0,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Grassland,0,0,0,0,0,10,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Bareland,0,0,0,0,0,32,0,0,0,45,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Cropland,0,0,0,0,0,9,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Wetland,0,0,0,0,0,13,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Water,0,0,0,0,0,0,0,0,0,431,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,Forest,0,0,0,0,0,238,0,0,0,320,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Grassland,0,353,6,215,85,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Forest,0,441,0,0,257,461,2,0,0,0,0
