Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Grassland,0,11,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Cropland,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Wetland,27,0,20,11,6,20,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Forest,41,48,0,12,10,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Water,45,60,43,32,18,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Built-up,4,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Bareland,5,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Grassland,0,6,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Forest,0,35,0,0,0,13,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Built-up,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Water,0,54,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Wetland,0,0,0,0,0,3,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Bareland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Wetland,0,0,0,0,0,34,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Built-up,0,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Water,0,0,0,0,0,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Grassland,0,0,0,0,0,4,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Forest,0,0,0,0,0,28,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,Bareland,0,0,0,0,0,6,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Water,0,7,50,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Wetland,0,0,51,5,4,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Forest,0,2,0,0,1,44,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Built-up,0,0,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Grassland,0,0,13,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,Bareland,0,0,1,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Built-up,0,4,0,0,0,0,3,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Water,5,79,31,3,27,0,13,0,0,30,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Forest,12,53,0,2,17,24,16,0,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Grassland,0,7,3,0,3,0,4,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Wetland,1,0,5,0,0,3,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Bareland,0,6,0,0,2,0,2,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,Wetland,20,0,32,15,0,23,12,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,Forest,7,1,0,5,0,15,9,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,Water,10,13,62,27,0,0,9,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,Grassland,0,0,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,Built-up,0,0,1,0,0,2,0,0,0,0,0
