,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,3048
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,3013
AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R,2898
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,2793
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,2497
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,2475
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,1985
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,1065
