Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Shrubland,203,50,122,28,39,19,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Grassland,0,164,266,56,49,29,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Non_Wetland,14,3,10,1,8,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Bareland,130,45,57,0,2,18,21,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Forest,754,228,0,114,135,66,154,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Cropland,540,0,374,178,4,94,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Wetland,360,12,221,16,0,0,108,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Built-up,129,58,82,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R,Water,536,31,540,130,269,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Non_Wetland,9,0,3,0,19,0,1,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Shrubland,80,0,18,13,55,4,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Grassland,0,0,117,41,209,17,45,178,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Cropland,571,0,250,92,183,102,30,306,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Wetland,166,0,14,1,0,0,198,79,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Bareland,113,0,29,0,26,37,26,30,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Built-up,66,0,28,68,16,0,1,21,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Water,383,0,160,9,375,4,0,233,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,Forest,772,0,0,81,709,28,352,645,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Non_Wetland,5,4,0,1,17,0,5,9,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Grassland,0,147,42,127,196,4,40,220,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Wetland,184,85,4,18,0,0,235,102,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Forest,779,252,0,384,655,15,297,729,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Bareland,86,76,0,0,14,0,24,21,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Water,262,102,65,127,416,2,0,281,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Shrubland,63,34,3,48,52,7,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Cropland,479,0,35,346,132,38,13,239,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,Built-up,102,38,0,102,2,0,1,20,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Shrubland,0,0,0,0,0,0,0,0,144,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Wetland,0,0,0,0,0,0,65,0,388,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Grassland,0,0,0,0,63,0,50,0,428,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Cropland,0,0,0,0,7,0,14,0,322,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Forest,0,0,0,0,271,0,169,0,1234,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Water,0,0,0,0,362,0,0,0,398,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Bareland,0,0,0,0,37,0,22,0,36,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,Built-up,0,0,0,0,0,0,11,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Wetland,0,0,0,0,0,0,197,0,0,197
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Grassland,0,0,0,0,0,0,42,0,0,23
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Shrubland,0,0,0,0,0,0,6,0,0,4
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Cropland,0,0,0,0,0,0,10,0,0,10
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Water,0,0,0,0,0,0,0,0,0,444
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Forest,0,0,0,0,0,0,235,0,0,258
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Bareland,0,0,0,0,0,0,15,0,0,40
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,Built-up,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Grassland,0,307,279,20,63,34,50,499,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Wetland,1,9,116,11,0,0,65,140,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Bareland,7,148,26,0,37,28,22,144,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Forest,227,479,0,114,271,49,169,695,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Cropland,133,0,253,19,7,68,14,439,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Built-up,3,110,21,1,0,0,11,108,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Water,10,164,275,66,362,4,0,308,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,Shrubland,7,10,16,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Grassland,0,639,234,20,29,112,86,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Bareland,0,158,17,0,0,69,14,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Shrubland,0,126,54,0,1,36,24,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Forest,0,507,0,2,99,200,434,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Wetland,0,86,161,24,0,7,162,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Built-up,0,24,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Water,0,113,131,29,94,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,Cropland,0,0,122,25,0,115,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,Shrubland,48,38,115,44,8,0,26,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,Forest,55,136,0,72,3,0,47,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,Cropland,133,0,202,203,5,0,21,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,Wetland,110,15,457,56,0,0,106,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,Water,26,6,658,105,46,0,0,0,0,0
