Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Non_Wetland,5,2,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Grassland,40,0,11,22,44,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Wetland,0,32,64,19,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Bareland,5,2,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Water,243,33,0,111,97,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Forest,319,131,136,0,137,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Shrubland,6,3,1,8,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Built-up,3,0,1,5,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Non_Wetland,1,4,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Grassland,0,0,0,57,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Wetland,0,127,30,97,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Bareland,4,39,1,15,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Water,74,168,0,258,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Shrubland,0,6,0,9,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Built-up,0,17,1,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Forest,8,195,71,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Non_Wetland,7,2,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Wetland,0,47,47,2,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Bareland,5,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Forest,247,243,147,0,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Grassland,26,0,6,2,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Water,240,68,0,27,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Shrubland,6,8,2,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Built-up,2,29,2,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Grassland,10,0,0,0,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Wetland,0,0,11,0,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Forest,128,0,44,0,0,0,0,456,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Water,167,0,0,0,0,0,0,223,0,0,0
