Dataset,MajorityClass,Wetland,Water,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Non_Wetland,7,6,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Grassland,539,307,64,34,125,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Cropland,311,159,20,14,56,1,103,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Wetland,0,1656,73,9,202,54,321,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Bareland,79,24,0,4,14,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Water,851,0,61,0,181,5,148,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Shrubland,30,12,15,10,20,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Forest,978,517,77,73,0,92,467,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Built-up,85,26,37,0,12,1,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,Permanent_ice_and_snow,9,5,3,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Non_Wetland,5,0,1,1,2,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Grassland,242,46,49,16,192,0,0,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Cropland,140,18,51,25,118,0,283,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Wetland,0,583,335,18,708,0,1216,218,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Bareland,6,0,0,4,31,0,103,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Water,909,0,418,14,413,0,625,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Shrubland,34,1,17,11,31,0,61,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Built-up,0,1,26,0,81,0,142,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Forest,308,212,70,20,0,0,672,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R,Permanent_ice_and_snow,3,0,0,0,5,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Grassland,134,31,0,0,0,0,0,0,1044,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Wetland,0,149,0,0,0,0,0,0,2271,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Bareland,9,4,0,0,0,0,0,0,138,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Water,619,0,0,0,0,0,0,0,1286,0,0,0
