Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Shrubland,360,128,109,80,26,136,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Grassland,0,315,86,88,31,240,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Bareland,334,172,0,102,15,42,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Built-up,440,258,133,0,17,194,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Water,1299,451,481,33,0,369,266,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Forest,960,331,92,71,70,0,124,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Cropland,754,0,217,199,57,206,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Non_Wetland,1,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Wetland,393,109,55,4,59,83,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Non_Water,5,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Lichens_and_Mosses,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R,Permanent_ice_and_snow,31,4,13,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Shrubland,0,0,0,0,0,0,0,104,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Wetland,0,0,0,0,1,0,0,334,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Water,0,0,0,0,0,0,489,307,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Grassland,0,0,0,0,12,0,101,172,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Cropland,0,0,0,0,1,0,40,147,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Bareland,0,0,0,0,1,0,7,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Forest,0,0,0,0,35,0,236,289,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,Built-up,0,0,0,0,1,0,33,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Shrubland,91,0,51,31,28,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Grassland,0,0,74,121,111,86,11,0,422,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Non_Wetland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Bareland,244,0,0,143,117,8,0,0,125,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Built-up,236,0,127,0,61,30,0,0,222,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Water,391,0,109,127,0,72,4,0,656,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Forest,483,0,170,237,163,0,22,0,1130,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Non_Water,2,0,1,0,2,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Cropland,738,0,254,381,156,31,0,0,573,0,0,0
