Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Water,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Grassland,216,82,79,302,23,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Non_Wetland,0,0,0,2,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Bareland,133,0,116,283,181,0,578,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Built-up,277,380,0,530,204,2,773,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Water,312,616,188,1357,0,31,1610,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Forest,337,310,312,0,286,15,1513,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Cropland,0,234,179,465,55,3,893,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Wetland,75,11,16,445,139,0,605,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Non_Water,1,0,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Shrubland,22,10,11,19,4,3,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R,Permanent_ice_and_snow,4,3,0,5,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Non_Wetland,0,2,1,2,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Grassland,0,147,158,137,205,113,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Cropland,0,285,487,213,191,158,372,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Bareland,0,0,251,61,210,9,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Built-up,0,283,0,146,235,66,154,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Forest,0,512,595,0,615,590,496,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Non_Water,0,0,0,0,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Shrubland,0,14,15,11,13,5,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Water,0,409,611,311,0,249,355,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Wetland,0,52,42,50,181,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
