Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Shrubland,319,48,104,75,137,44,80,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Non_Wetland,10,0,0,2,4,0,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Grassland,0,95,53,49,154,24,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Bareland,311,58,0,103,106,25,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Built-up,260,97,94,0,132,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Water,689,53,236,10,451,0,360,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Forest,685,109,133,105,0,138,146,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Cropland,551,0,225,193,254,20,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Wetland,145,1,3,1,74,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R,Permanent_ice_and_snow,9,0,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Non_Wetland,8,0,1,0,2,9,15,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Shrubland,90,0,55,19,40,55,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Grassland,0,0,51,29,130,51,69,258,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Cropland,427,0,254,180,191,27,45,469,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Wetland,40,0,23,0,30,197,0,142,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Bareland,139,0,0,63,48,132,28,194,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Built-up,92,0,120,0,40,37,7,190,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Water,310,0,62,28,207,0,166,482,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Forest,403,0,230,100,0,309,361,821,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Non_Water,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,Permanent_ice_and_snow,1,0,1,0,0,3,5,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Wetland,0,0,0,0,0,57,0,0,576,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Shrubland,0,0,0,0,0,0,0,0,232,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Grassland,0,0,0,0,0,37,19,0,207,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Forest,0,0,0,0,0,136,116,0,860,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Bareland,0,0,0,0,0,81,10,0,68,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Water,0,0,0,0,0,0,214,0,427,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Cropland,0,0,0,0,0,39,0,0,92,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Built-up,0,0,0,0,0,34,1,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Non_Wetland,4,0,11,0,1,4,9,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Grassland,0,59,108,9,40,17,69,224,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Wetland,22,0,196,0,7,25,0,111,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Water,178,30,623,9,122,0,382,459,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Forest,545,106,617,25,0,114,449,869,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Bareland,129,124,0,20,3,11,7,66,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Non_Water,0,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Shrubland,111,30,104,16,14,13,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Built-up,144,75,143,0,17,2,12,154,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Cropland,390,0,240,91,37,8,16,320,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,Permanent_ice_and_snow,7,1,5,0,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Grassland,0,0,0,0,0,83,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Bareland,0,0,0,0,0,39,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Water,0,0,0,0,0,0,0,0,0,386,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Shrubland,0,0,0,0,0,67,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Wetland,0,0,0,0,0,140,0,0,0,74,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Cropland,0,0,0,0,0,22,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Built-up,0,0,0,0,0,1,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Forest,0,0,0,0,0,238,0,0,0,153,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Grassland,0,406,38,83,275,37,19,376,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Wetland,4,39,8,9,168,57,0,182,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Bareland,2,315,0,128,113,81,10,365,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Built-up,16,184,40,0,59,34,1,200,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Forest,127,524,62,145,0,136,116,656,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Water,1,307,78,41,341,0,214,457,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Cropland,42,0,45,164,184,39,0,405,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Shrubland,8,55,6,21,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,Permanent_ice_and_snow,0,11,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Grassland,0,388,5,120,180,42,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Bareland,0,253,0,220,63,51,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Forest,0,367,18,272,0,345,44,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Shrubland,0,146,3,115,137,57,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Wetland,0,30,0,5,97,89,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Built-up,0,71,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Water,0,74,9,90,59,0,72,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Cropland,0,0,2,212,88,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,Permanent_ice_and_snow,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Forest,136,95,79,0,0,96,35,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Shrubland,95,98,83,0,202,55,31,0,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Wetland,41,7,12,0,142,62,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Cropland,111,0,221,0,124,37,4,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Water,59,9,77,0,382,0,103,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Bareland,5,39,0,0,68,23,1,0,0,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Built-up,15,135,110,0,114,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,Grassland,0,90,116,0,151,51,17,0,0,0,21
