Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Shrubland,66,163,12,25,10,4,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Grassland,262,0,97,33,39,17,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Non_Wetland,8,9,2,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Cropland,323,536,0,8,96,16,92,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Wetland,273,410,0,0,3,118,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Bareland,52,101,18,1,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Forest,0,678,172,134,90,55,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Water,494,684,7,235,8,0,97,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R,Built-up,58,104,34,0,0,2,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Non_Wetland,1,6,0,11,0,1,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Shrubland,12,69,0,40,1,9,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Grassland,77,0,0,180,4,41,42,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Cropland,156,492,0,163,26,18,64,132,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Wetland,5,188,0,0,0,225,0,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Bareland,12,63,0,7,2,6,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Water,41,489,0,402,1,0,10,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Forest,0,808,0,585,8,179,55,262,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,Built-up,4,53,0,4,0,1,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Grassland,73,0,106,235,7,53,140,209,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Non_Wetland,0,2,0,14,0,3,1,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Wetland,24,129,8,0,0,325,12,159,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Forest,0,606,161,572,17,239,257,461,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Water,33,242,5,486,6,0,63,208,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Shrubland,8,33,13,27,3,6,26,0,0,0,0
