Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Bareland,Non_Water,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Shrubland,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Wetland,11,3,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Built-up,4,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Forest,50,0,27,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Water,28,33,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCU_M_R,Bareland,0,1,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Grassland,0,0,5,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Wetland,0,0,12,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Forest,0,0,41,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Bareland,0,0,2,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCU_M_R,Water,0,0,0,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCU_M_R,Wetland,0,3,4,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCU_M_R,Grassland,0,0,2,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCU_M_R,Forest,0,0,38,4,1,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCU_M_R,Water,0,19,0,5,16,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCU_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCU_M_R,Built-up,1,1,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCU_M_R,Water,11,15,0,29,17,0,12,15,12,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCU_M_R,Forest,16,0,5,18,18,0,13,24,12,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCU_M_R,Grassland,0,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCU_M_R,Bareland,2,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCU_M_R,Water,0,0,0,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCU_M_R,Bareland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCU_M_R,Forest,0,0,5,18,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCU_M_R,Wetland,2,16,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCU_M_R,Forest,1,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCU_M_R,Water,0,43,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCU_M_R,Grassland,0,6,0,0,0,0,0,0,0,0,0
