Dataset,MajorityClass,Wetland,Water,Bareland,Grassland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Non_Wetland,3,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Grassland,96,34,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Water,427,0,0,35,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Shrubland,3,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Wetland,0,270,6,75,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Bareland,5,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Built-up,55,41,12,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,Forest,451,234,24,49,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Non_Wetland,0,0,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Grassland,2,0,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Wetland,0,59,1,443,278,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Water,243,0,7,390,270,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Shrubland,0,0,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Bareland,0,0,0,8,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Built-up,0,2,1,43,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R,Forest,34,31,0,204,0,2,0,0,0,0,0,0
