Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Wetland,Shrubland,Lichens_and_Mosses,Water,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Grassland,0,4,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Cropland,32,0,17,11,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Forest,22,8,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Built-up,4,4,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Bareland,8,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Water,12,2,5,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPD_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Cropland,24,0,18,12,8,1,19,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Built-up,3,3,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Forest,15,15,0,2,4,0,19,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Grassland,0,7,6,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Bareland,5,6,7,0,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Water,9,5,5,8,2,1,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPD_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPD_M_R,Cropland,0,0,0,0,0,0,0,0,19,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPD_M_R,Grassland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPD_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPD_M_R,Water,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPD_M_R,Forest,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Grassland,0,20,10,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Wetland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Bareland,0,15,4,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Forest,0,22,0,0,2,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Cropland,0,0,7,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPD_M_R,Water,0,13,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPD_M_R,Cropland,7,0,10,4,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPD_M_R,Forest,6,7,0,5,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPD_M_R,Grassland,0,3,2,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPD_M_R,Built-up,0,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPD_M_R,Bareland,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPD_M_R,Cropland,0,0,0,0,0,1,0,0,1,0,5
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPD_M_R,Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPD_M_R,Forest,0,0,0,0,0,0,0,0,2,0,0
