Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Grassland,430,152,58,54,67,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Non_Wetland,7,0,1,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Bareland,519,166,36,0,105,234,722,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Shrubland,49,9,3,3,10,2,63,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Cropland,386,0,9,76,118,14,464,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Wetland,292,14,0,26,1,124,331,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Built-up,131,67,0,60,0,9,220,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Water,936,62,190,185,13,0,813,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Forest,0,166,95,53,85,160,724,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Non_Water,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R,Permanent_ice_and_snow,3,0,0,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Non_Wetland,1,0,13,4,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Shrubland,11,0,23,36,4,3,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Grassland,92,0,223,433,49,39,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Cropland,157,0,183,358,60,10,519,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Bareland,50,0,116,0,62,9,224,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Built-up,22,0,23,140,0,5,131,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Water,52,0,456,1201,76,0,687,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Forest,0,0,716,1106,69,180,1026,86,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Wetland,2,0,0,414,0,86,140,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Non_Water,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,Permanent_ice_and_snow,0,0,2,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Grassland,61,160,148,550,45,39,0,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Forest,0,182,398,1102,48,323,860,190,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Non_Wetland,0,1,8,5,0,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Wetland,6,18,0,441,0,154,149,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Bareland,5,47,24,0,35,39,179,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Water,29,20,234,1356,80,0,364,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Shrubland,6,17,12,34,6,6,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Built-up,0,36,3,200,0,2,102,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Cropland,43,0,43,503,109,11,397,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,Permanent_ice_and_snow,0,0,3,2,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Grassland,0,0,74,0,0,83,0,0,511,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Wetland,0,0,0,0,0,33,0,0,360,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Forest,0,0,242,0,0,176,0,0,1184,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Bareland,0,0,124,0,0,165,0,0,564,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Water,0,0,327,0,0,0,0,0,507,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Shrubland,0,0,0,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,Cropland,0,0,4,0,0,35,0,0,233,0,0,0
