Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Cropland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Grassland,246,47,12,19,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Non_Wetland,5,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Wetland,137,7,0,4,0,23,159,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Bareland,154,28,3,0,0,9,160,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Built-up,80,0,0,15,0,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Water,374,3,39,80,0,0,272,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Forest,0,77,25,27,0,80,307,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Shrubland,13,2,2,2,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R,Cropland,59,29,0,3,0,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Non_Wetland,1,0,5,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Grassland,114,22,73,99,0,19,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Bareland,23,8,10,0,0,12,85,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Built-up,16,0,2,56,0,3,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Water,169,0,161,127,0,0,230,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Forest,0,42,289,319,0,132,399,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Shrubland,6,4,5,7,0,3,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Cropland,36,11,5,21,0,0,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,Wetland,94,1,0,23,0,70,95,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXQ_M_R,Grassland,0,0,49,0,0,6,0,0,211,0,0,0
