Dataset,MajorityClass,Cropland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Grassland,266,64,50,310,43,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Non_Wetland,2,0,0,5,2,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Bareland,110,0,88,202,2,85,343,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Built-up,276,302,158,518,10,0,588,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Water,403,525,0,1392,274,152,1213,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Forest,389,187,367,0,197,220,1207,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Shrubland,16,2,0,24,8,8,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Cropland,0,262,158,627,67,227,975,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Wetland,279,18,185,479,0,4,621,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R,Permanent_ice_and_snow,0,5,0,4,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Non_Wetland,0,0,1,2,7,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Shrubland,0,6,6,8,12,13,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Grassland,0,75,161,112,200,146,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Cropland,0,328,391,236,340,493,398,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Bareland,0,0,251,29,10,158,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Built-up,0,225,167,112,63,0,98,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Forest,0,347,650,0,755,525,350,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Wetland,0,9,340,65,0,28,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Water,0,228,0,306,401,612,218,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,Permanent_ice_and_snow,0,0,4,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Wetland,0,0,18,0,0,0,0,0,920,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Grassland,0,0,38,0,74,0,0,0,500,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Bareland,0,0,42,0,26,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Shrubland,0,0,0,0,0,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Forest,0,0,163,0,285,0,0,0,1744,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Built-up,0,0,42,0,53,0,0,0,242,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Water,0,0,0,0,556,0,0,0,1084,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,Cropland,0,0,30,0,77,0,0,0,747,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Grassland,117,77,76,114,212,91,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Non_Wetland,0,1,1,0,10,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Forest,182,331,551,0,871,313,309,84,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Shrubland,7,12,5,7,14,5,4,0,0,0,0,0
