Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Cropland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Shrubland,3,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Grassland,0,29,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Bareland,135,75,0,51,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Cropland,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Wetland,34,41,6,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Built-up,7,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Water,182,283,77,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Forest,262,0,52,105,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Grassland,0,34,0,1,2,30,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Forest,110,0,7,92,160,196,29,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Bareland,68,135,0,44,22,141,37,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Water,39,235,1,0,171,111,19,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Wetland,0,12,0,0,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Built-up,1,3,0,0,0,4,0,0,0,0,0
