Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Cropland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Cropland,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Bareland,0,0,0,44,22,0,0,0,88,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Forest,0,0,0,92,160,0,0,0,287,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Wetland,0,0,0,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Water,0,0,0,0,171,0,0,0,88,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Grassland,0,0,0,1,2,0,0,0,44,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Shrubland,2,0,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Forest,239,0,279,160,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Water,104,108,258,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Grassland,0,1,57,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Cropland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Wetland,18,6,29,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Built-up,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,Bareland,3,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Shrubland,1,2,2,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Grassland,0,17,67,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Bareland,23,12,0,11,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Water,18,113,380,0,128,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Cropland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Wetland,4,5,33,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Built-up,1,3,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,Forest,95,0,343,98,184,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,Bareland,0,0,0,100,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,Grassland,0,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,Wetland,0,0,0,18,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,Water,0,0,0,0,0,0,0,0,0,131,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,Forest,0,0,0,181,0,0,0,0,0,73,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,Bareland,0,38,0,57,83,0,2,47,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,Grassland,0,19,0,10,34,0,0,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,Water,0,64,16,0,66,0,0,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,Forest,0,0,4,271,108,0,0,34,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,Wetland,0,27,0,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Bareland,4,63,0,36,8,0,11,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Wetland,4,65,0,17,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Water,5,296,44,0,29,0,2,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Forest,17,0,16,88,19,0,14,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Grassland,0,45,1,6,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
