Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Shrubland,214,66,84,121,8,41,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Grassland,0,94,17,131,2,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Bareland,163,47,0,33,0,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Built-up,145,36,62,64,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Forest,417,95,30,0,13,13,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Non_Wetland,2,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Cropland,405,0,137,176,1,76,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Wetland,33,1,1,34,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Water,104,2,17,169,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LML_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Shrubland,0,0,0,0,0,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Wetland,0,0,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Grassland,0,0,0,0,17,0,1,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Cropland,0,0,0,0,0,0,14,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Water,0,0,0,0,101,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Bareland,0,0,0,0,1,0,20,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Forest,0,0,0,0,75,0,65,100,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LML_M_R,Built-up,0,0,0,0,5,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Shrubland,51,0,49,30,9,9,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Non_Wetland,0,0,0,0,3,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Grassland,0,0,44,75,3,10,8,0,224,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Cropland,233,0,192,109,0,7,0,0,479,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Wetland,13,0,2,1,0,1,17,0,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Bareland,23,0,0,8,0,11,2,0,117,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Built-up,40,0,74,0,0,0,1,0,126,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Forest,168,0,168,0,42,12,100,0,578,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LML_M_R,Water,29,0,14,49,3,2,0,0,188,0,0,0
