Dataset,MajorityClass,Forest,Wetland,Bareland,Grassland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Grassland,87,44,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Non_Wetland,4,2,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Wetland,204,0,10,197,14,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Bareland,48,6,0,53,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Forest,0,66,11,283,22,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Water,331,136,42,165,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Shrubland,8,4,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Built-up,93,15,17,106,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R,Cropland,5,0,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Non_Wetland,2,5,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Grassland,61,109,39,0,25,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Wetland,59,0,45,102,16,140,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Forest,0,414,121,179,89,216,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Water,139,321,50,23,47,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Shrubland,4,4,2,6,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Bareland,20,30,0,18,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Built-up,25,37,47,28,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,Cropland,3,9,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,Grassland,0,37,0,0,0,1,199,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,Wetland,0,0,0,0,0,3,111,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,Forest,0,278,0,0,0,49,556,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,Shrubland,0,0,0,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,Bareland,0,11,0,0,0,0,37,0,0,0,0,0
