Dataset,MajorityClass,Forest,Grassland,Water,Wetland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Grassland,37,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Non_Wetland,5,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Wetland,246,348,116,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Water,303,329,0,73,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Cropland,6,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Bareland,9,6,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Built-up,77,60,3,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLU_M_R,Forest,0,243,105,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Non_Wetland,1,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Grassland,23,0,12,91,16,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Water,58,22,0,427,19,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Forest,0,134,255,492,76,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Shrubland,1,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Cropland,2,2,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Wetland,8,30,175,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Bareland,1,3,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLU_M_R,Built-up,4,7,11,25,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Grassland,0,0,5,17,0,0,126,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Wetland,0,0,25,0,0,0,142,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Forest,0,0,43,175,0,0,646,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Water,0,0,0,298,0,0,276,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Bareland,0,0,0,3,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLU_M_R,Built-up,0,0,1,7,0,0,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Non_Wetland,0,2,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Forest,0,265,191,341,87,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Grassland,0,0,8,74,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Shrubland,0,0,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Cropland,0,4,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Wetland,12,105,190,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Water,45,101,0,317,27,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Bareland,0,1,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLU_M_R,Built-up,0,49,17,18,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Grassland,0,0,43,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Wetland,0,0,261,0,0,0,0,144,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Built-up,0,0,31,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Bareland,0,0,4,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Forest,0,0,225,0,0,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLU_M_R,Water,0,0,0,0,0,0,0,226,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Grassland,42,0,5,17,17,13,0,0,24,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Forest,0,120,43,175,119,64,0,0,92,75,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Wetland,23,24,25,0,33,1,0,0,17,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Water,79,102,0,298,90,42,0,0,55,25,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Bareland,2,0,0,3,0,0,0,0,1,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLU_M_R,Built-up,18,1,1,7,1,0,0,0,4,28,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Grassland,31,0,9,3,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Wetland,144,0,117,0,9,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Water,159,0,0,132,37,39,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Bareland,1,0,1,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Forest,0,0,187,72,0,85,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLU_M_R,Built-up,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLU_M_R,Wetland,338,65,99,0,14,0,0,0,0,18,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLU_M_R,Forest,0,12,4,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLU_M_R,Water,479,43,0,42,32,0,0,0,0,23,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLU_M_R,Grassland,65,0,2,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLU_M_R,Built-up,10,0,0,0,0,0,0,0,0,0,0
