Dataset,MajorityClass,Forest,Cropland,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Grassland,391,134,173,51,92,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Non_Wetland,10,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Shrubland,69,12,34,3,2,1,76,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Cropland,289,0,25,58,81,22,360,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Wetland,737,4,0,1,8,124,529,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Bareland,44,26,4,9,0,9,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Water,583,13,224,6,20,0,276,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Forest,0,79,205,33,38,63,478,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Built-up,61,5,0,0,11,1,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Non_Wetland,1,0,11,0,3,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Shrubland,14,0,49,0,17,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Grassland,121,0,375,5,88,57,0,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Cropland,135,0,227,14,93,8,479,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Wetland,121,0,0,0,3,138,572,121,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Bareland,13,0,36,0,0,1,108,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Water,81,0,305,0,36,0,451,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Forest,0,0,670,3,208,119,738,216,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Built-up,2,0,26,0,58,7,38,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Wetland,0,0,0,0,0,23,0,0,762,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Grassland,0,0,105,0,0,32,0,0,905,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Forest,0,0,283,0,0,93,0,0,1363,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Shrubland,0,0,0,0,0,0,0,0,119,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Bareland,0,0,12,0,0,1,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Built-up,0,0,2,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Water,0,0,349,0,0,0,0,0,374,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Cropland,0,0,8,0,0,1,0,0,353,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Grassland,24,220,372,5,276,118,0,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Non_Wetland,0,1,11,0,1,2,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Forest,0,210,561,7,366,368,651,311,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Wetland,56,93,0,2,43,415,325,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Shrubland,1,18,24,0,23,22,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Water,61,39,340,7,74,0,209,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Cropland,8,0,112,19,241,19,313,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Bareland,0,53,4,0,0,8,31,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Built-up,0,40,9,0,42,1,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Grassland,256,288,105,98,97,32,0,378,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Wetland,223,34,0,0,49,23,160,208,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Forest,0,301,283,42,156,93,364,491,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Cropland,130,0,8,97,13,1,221,241,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Bareland,14,55,12,51,0,1,71,48,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Built-up,6,20,2,0,3,0,31,19,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Water,200,83,349,10,62,0,127,207,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Shrubland,8,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Wetland,0,0,0,0,0,223,0,0,0,0,269,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Grassland,0,0,0,0,0,81,0,0,0,0,54,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Water,0,0,0,0,0,0,0,0,0,0,303,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Forest,0,0,0,0,0,197,0,0,0,0,124,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,Bareland,0,0,0,0,0,9,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Grassland,139,782,141,87,2,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Wetland,132,250,0,9,3,210,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Forest,0,344,276,49,0,369,0,0,0,0,0,0
