Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Shrubland,173,128,54,29,28,41,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Non_Wetland,5,6,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Grassland,0,330,69,115,75,53,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Bareland,197,134,30,43,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Built-up,217,201,0,54,0,46,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Forest,693,0,151,110,185,43,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Cropland,438,339,83,0,7,112,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Wetland,98,116,0,0,0,5,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R,Water,288,281,4,11,186,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Non_Wetland,2,2,0,0,5,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Shrubland,50,39,19,0,17,35,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Grassland,0,281,33,0,17,102,8,188,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Cropland,321,304,39,0,8,225,0,292,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Wetland,44,123,0,0,0,7,35,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Bareland,60,68,21,0,2,0,0,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Built-up,118,106,0,0,14,106,9,92,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Forest,450,0,110,0,129,195,33,468,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,Water,91,208,2,0,51,32,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Shrubland,0,0,0,0,0,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Grassland,0,0,0,0,47,0,18,0,185,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Wetland,0,0,0,0,0,0,1,0,193,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Forest,0,0,0,0,121,0,67,0,591,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Bareland,0,0,0,0,2,0,1,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Cropland,0,0,0,0,1,0,0,0,26,0,0
