Dataset,MajorityClass,Cropland,Forest,Bareland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Grassland,244,336,33,51,67,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Non_Wetland,3,7,0,2,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Bareland,11,11,0,5,74,0,142,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Forest,233,0,113,88,242,59,916,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Shrubland,14,15,0,5,1,2,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Cropland,0,401,175,162,149,25,784,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Wetland,113,642,112,26,431,0,986,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Water,50,578,220,19,0,116,692,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Built-up,69,160,63,0,24,0,189,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Non_Wetland,0,1,0,0,0,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Grassland,0,109,66,31,52,490,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Cropland,0,141,263,137,84,467,459,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Forest,0,0,139,43,334,1031,431,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Water,0,153,59,26,0,808,132,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Shrubland,0,5,7,1,2,18,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Bareland,0,5,0,10,113,31,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Built-up,0,10,94,0,31,42,77,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Wetland,0,74,45,0,351,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZQ_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Grassland,114,159,41,29,67,408,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Non_Wetland,1,1,1,0,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Forest,119,0,86,36,149,774,281,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Water,111,270,145,26,0,756,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Shrubland,8,2,4,0,1,15,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Bareland,102,8,0,0,16,11,67,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Cropland,0,183,191,116,22,295,342,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Wetland,66,196,40,0,243,0,45,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZQ_M_R,Built-up,45,30,95,0,1,20,85,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Grassland,0,0,0,0,28,92,0,0,952,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Wetland,0,0,0,0,74,0,0,0,1214,0,0,0
