Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Wetland,Water,Non_Wetland,Non_Water,Shrubland,Forest,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Shrubland,3,2,3,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Grassland,0,10,13,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Cropland,44,0,19,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Wetland,114,7,63,2,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Lichens_and_Mosses,2,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Bareland,100,28,0,10,16,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Built-up,9,6,5,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Forest,20,0,1,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Water,113,9,83,0,48,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R,Permanent_ice_and_snow,3,0,13,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Wetland,0,0,0,0,0,6,148,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Bareland,0,0,0,0,33,10,48,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Water,0,0,0,0,38,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Grassland,0,0,0,0,6,1,29,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Cropland,0,0,0,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Forest,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,Permanent_ice_and_snow,0,0,0,0,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,Grassland,0,0,0,0,0,35,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,Wetland,0,0,0,0,0,100,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,Bareland,0,0,0,0,0,96,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
