Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Grassland,402,74,76,89,114,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Non_Wetland,9,0,1,0,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Cropland,265,0,0,40,73,8,465,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Wetland,473,1,0,5,8,196,895,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Bareland,163,31,2,0,75,96,430,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Built-up,225,5,1,81,0,9,347,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Non_Water,2,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Water,902,1,240,234,22,0,1337,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Shrubland,15,2,1,2,6,1,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Forest,0,17,63,49,127,305,1059,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMR_M_R,Permanent_ice_and_snow,6,0,0,1,0,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Non_Wetland,3,0,11,2,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Grassland,181,0,429,213,108,220,0,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Cropland,92,0,150,111,63,37,386,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Wetland,131,0,0,33,7,361,443,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Bareland,76,0,66,0,76,156,332,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Built-up,64,0,58,160,0,47,148,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Forest,0,0,827,359,166,538,977,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Non_Water,1,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Water,442,0,727,179,82,0,811,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Shrubland,8,0,9,4,7,5,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMR_M_R,Permanent_ice_and_snow,1,0,3,1,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Grassland,36,122,346,586,117,110,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Non_Wetland,0,1,9,4,2,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Wetland,29,7,0,205,2,328,361,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Bareland,1,34,19,0,38,33,103,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Forest,0,86,947,873,147,370,967,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Built-up,7,22,61,272,0,12,195,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Non_Water,0,0,0,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Water,179,34,731,845,37,0,514,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Shrubland,0,5,10,22,4,2,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Cropland,8,0,57,334,63,15,274,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMR_M_R,Permanent_ice_and_snow,0,0,2,8,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Grassland,0,0,104,0,0,53,0,0,956,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Wetland,0,0,0,0,0,42,0,0,792,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Forest,0,0,394,0,0,131,0,0,1614,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Water,0,0,525,0,0,0,0,0,961,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Shrubland,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Cropland,0,0,9,0,0,6,0,0,202,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Bareland,0,0,40,0,0,33,0,0,112,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Built-up,0,0,10,0,0,15,0,0,124,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMR_M_R,Grassland,0,0,0,0,0,306,0,0,0,176,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMR_M_R,Wetland,0,0,0,0,0,516,0,0,0,308,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMR_M_R,Shrubland,0,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMR_M_R,Water,0,0,0,0,0,0,0,0,0,632,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMR_M_R,Bareland,0,0,0,0,0,126,0,0,0,68,0,0
