Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Shrubland,443,107,110,92,136,188,184,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Non_Wetland,7,3,0,0,4,6,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Grassland,0,230,88,51,72,186,130,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Bareland,249,97,0,60,32,75,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Water,1119,164,229,13,0,496,571,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Forest,1008,336,96,74,325,0,287,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Cropland,736,0,243,142,87,392,82,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Wetland,435,62,7,3,213,163,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Built-up,249,131,92,0,9,139,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Non_Water,2,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKD_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Non_Wetland,8,0,0,0,7,3,10,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Shrubland,130,0,52,18,82,44,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Grassland,0,0,66,23,130,186,42,479,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Cropland,772,0,166,192,102,330,42,787,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Wetland,143,0,1,0,494,210,0,605,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Bareland,217,0,0,68,94,36,3,172,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Built-up,129,0,77,0,45,23,3,207,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Water,443,0,41,7,0,337,122,1189,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Forest,565,0,163,56,480,0,256,1339,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Non_Water,2,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Non_Wetland,3,0,11,0,3,1,21,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Grassland,0,113,171,30,58,126,191,337,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Wetland,105,0,252,0,166,79,0,249,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Bareland,121,28,0,14,8,27,2,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Forest,618,190,692,52,226,0,708,962,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Water,445,30,927,9,0,234,636,800,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Non_Water,1,0,0,0,2,1,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Shrubland,159,32,157,29,39,45,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Built-up,180,6,200,0,2,22,11,124,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Cropland,715,0,441,179,25,224,150,407,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKD_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Shrubland,0,0,0,0,0,0,0,0,467,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Wetland,0,0,0,0,100,0,0,0,1281,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Grassland,0,0,0,0,70,0,48,0,452,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Forest,0,0,0,0,189,0,117,0,1390,0,0
