Dataset,MajorityClass,Water,Wetland,Grassland,Bareland,Forest,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Forest,147,264,147,37,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Shrubland,0,3,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Grassland,13,89,0,7,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Cropland,0,6,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Wetland,84,0,29,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Water,0,148,95,14,57,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Bareland,3,1,16,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Built-up,10,39,42,9,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,Permanent_ice_and_snow,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Shrubland,0,0,4,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Grassland,2,0,0,3,51,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Wetland,75,0,115,1,113,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Cropland,0,0,5,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Bareland,0,0,14,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Built-up,0,0,24,7,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Water,0,8,116,2,218,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Forest,79,2,192,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R,Permanent_ice_and_snow,0,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Grassland,1,3,0,17,35,15,50,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Wetland,2,0,20,6,11,2,12,7,0,0,0,0
