Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Shrubland,153,150,34,148,20,43,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Non_Wetland,7,9,2,18,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Grassland,414,0,130,422,86,77,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Cropland,526,510,0,360,111,138,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Wetland,390,372,41,0,25,9,157,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Bareland,82,114,8,51,0,15,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Built-up,188,159,32,37,35,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Water,757,605,46,986,96,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Forest,0,570,128,796,61,117,217,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Lichens_and_Mosses,2,2,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R,Permanent_ice_and_snow,0,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Non_Wetland,5,14,0,9,2,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Shrubland,42,104,0,42,26,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Grassland,157,0,0,216,63,20,100,238,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Cropland,260,792,0,177,117,48,38,413,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Wetland,112,726,0,0,1,1,372,119,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,Bareland,12,159,0,11,0,5,18,32,0,0,0,0
