Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Shrubland,3,3,1,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Grassland,0,11,3,5,21,3,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Cropland,96,108,4,37,111,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Wetland,87,77,1,77,133,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Lichens_and_Mosses,1,1,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Bareland,131,0,8,86,126,11,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Built-up,25,27,0,10,30,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Water,166,201,4,0,215,7,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Forest,130,125,13,85,0,24,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Grassland,0,0,0,24,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Cropland,0,0,0,79,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Wetland,0,0,0,109,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Bareland,0,0,0,166,0,0,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Built-up,0,0,0,24,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Water,0,0,0,0,0,0,0,192,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Forest,0,0,0,197,0,0,0,77,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Water,70,72,73,0,113,72,61,0,121,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Cropland,31,34,34,4,49,0,8,0,54,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Wetland,9,14,12,2,34,20,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Bareland,59,0,62,19,70,63,37,0,87,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Built-up,12,9,0,0,11,10,2,0,11,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Forest,65,56,65,20,0,68,45,0,92,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,Grassland,0,5,5,1,22,3,5,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Bareland,0,0,0,19,0,0,37,0,0,0,74,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Forest,0,0,0,20,0,0,45,0,0,0,121,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Wetland,0,0,0,2,0,0,0,0,0,0,166,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Grassland,0,0,0,1,0,0,5,0,0,0,26,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Water,0,0,0,0,0,0,61,0,0,0,105,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,Cropland,0,0,0,4,0,0,8,0,0,0,31,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Water,0,94,76,0,68,108,92,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Grassland,0,8,17,12,13,22,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Wetland,0,26,50,54,32,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Bareland,0,0,66,64,61,67,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Forest,0,52,78,68,0,79,72,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Cropland,0,14,40,28,17,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Water,15,102,0,0,113,59,44,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Wetland,19,47,0,38,64,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Bareland,5,0,0,28,38,28,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Forest,15,49,0,31,0,37,16,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Grassland,0,13,0,11,16,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Built-up,0,6,0,3,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,Cropland,0,9,0,4,7,0,2,0,0,0,0,0
