Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Shrubland,209,70,16,106,31,38,67,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Grassland,0,180,24,154,47,35,59,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Non_Wetland,7,6,1,8,2,5,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Bareland,115,29,0,40,17,10,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Built-up,288,150,93,183,20,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Forest,1021,392,113,0,369,141,233,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Cropland,781,0,196,508,110,63,270,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Wetland,157,10,2,96,106,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Non_Water,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R,Water,670,60,113,554,0,131,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Non_Wetland,2,0,1,4,1,17,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Shrubland,52,0,33,24,27,64,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Grassland,0,0,31,122,56,197,52,114,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Cropland,510,0,229,348,140,427,242,389,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Bareland,10,0,0,12,27,15,42,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Forest,417,0,214,0,401,956,124,629,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Wetland,21,0,27,13,110,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Built-up,88,0,125,59,34,60,0,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,Water,148,0,73,205,0,477,20,98,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Wetland,0,0,0,0,7,0,0,0,319,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Grassland,0,0,0,0,15,30,0,0,367,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Forest,0,0,0,0,171,184,0,0,1664,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Bareland,0,0,0,0,38,3,0,0,31,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Shrubland,0,0,0,0,0,0,0,0,152,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Water,0,0,0,0,0,259,0,0,636,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Cropland,0,0,0,0,35,26,0,0,718,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,Built-up,0,0,0,0,26,0,0,0,135,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Grassland,0,43,100,78,2,147,27,111,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Non_Wetland,8,0,1,3,0,16,0,4,0,0,0
