Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Shrubland,2,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Grassland,0,0,3,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Cropland,2,0,2,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Wetland,10,0,8,17,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Bareland,37,0,19,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Water,60,5,74,0,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Forest,71,16,0,59,49,3,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Forest,0,23,0,21,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Water,0,34,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Wetland,0,0,0,1,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,Bareland,0,16,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Grassland,0,0,0,5,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Wetland,0,0,0,14,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Bareland,0,0,0,59,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Water,0,0,0,0,0,0,0,0,95,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Forest,0,0,0,94,0,0,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,Cropland,0,0,0,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Water,34,34,43,0,24,18,19,0,0,45,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Bareland,20,16,19,7,0,12,8,0,0,31,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Forest,44,23,0,21,27,34,18,0,0,71,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Grassland,0,3,4,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Cropland,2,0,3,0,0,0,0,0,0,2,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,Wetland,0,0,7,1,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Water,0,5,57,0,26,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Forest,0,2,0,92,18,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Grassland,0,0,10,4,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Wetland,0,0,9,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Cropland,0,0,3,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,Bareland,0,0,38,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBJ_M_R,Forest,24,0,0,46,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBJ_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBJ_M_R,Water,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBJ_M_R,Wetland,2,0,11,3,8,0,3,0,0,0,0
