Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Cropland,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Cropland,7,2,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Wetland,19,4,0,12,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Built-up,4,1,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Water,36,22,0,0,36,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Forest,40,25,0,17,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Bareland,6,0,0,11,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYD_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Water,2,0,4,0,33,34,33,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Bareland,3,0,0,0,7,4,13,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Built-up,2,0,0,0,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Forest,6,3,12,8,0,20,38,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Grassland,0,0,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Cropland,0,0,1,0,2,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Wetland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYD_M_R,Wetland,0,0,0,9,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYD_M_R,Forest,0,0,0,32,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYD_M_R,Bareland,0,0,0,5,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYD_M_R,Water,0,0,0,0,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Forest,0,4,6,33,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Water,0,7,1,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Wetland,0,7,2,25,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Grassland,0,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Cropland,0,1,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYD_M_R,Bareland,0,0,0,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYD_M_R,Forest,0,0,0,8,0,20,0,0,0,16,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYD_M_R,Water,0,0,0,0,0,34,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYD_M_R,Wetland,0,0,0,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYD_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYD_M_R,Forest,4,8,0,15,0,3,0,10,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYD_M_R,Water,1,15,0,0,35,12,0,8,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYD_M_R,Grassland,0,0,0,1,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYD_M_R,Wetland,0,1,0,5,8,0,0,5,0,0,1
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYD_M_R,Forest,2,0,0,0,0,0,0,0,0,0,0
