Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Grassland,165,28,13,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Non_Wetland,1,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Bareland,31,6,0,4,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Water,287,0,102,0,184,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Forest,0,12,36,88,259,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Shrubland,10,1,1,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Wetland,110,0,19,52,110,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Cropland,27,1,0,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Built-up,34,0,2,0,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Non_Wetland,2,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Grassland,67,13,70,15,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Bareland,10,0,0,17,41,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Water,85,0,14,0,198,195,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Forest,0,6,126,166,347,293,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Shrubland,3,2,6,1,6,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Built-up,3,0,27,0,23,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Cropland,3,4,7,1,26,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Wetland,20,0,8,59,60,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Grassland,0,0,0,2,0,34,174,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Forest,0,0,0,61,0,149,455,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Bareland,0,0,0,6,0,4,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Water,0,0,0,0,0,206,207,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Shrubland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Wetland,0,0,0,0,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Built-up,0,0,0,1,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Forest,0,5,230,124,272,253,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Grassland,43,10,144,16,0,109,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Non_Wetland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Water,41,1,181,0,104,195,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Shrubland,0,2,9,1,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Built-up,2,0,31,0,17,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Cropland,5,0,19,0,10,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Wetland,7,0,40,41,63,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Bareland,0,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Grassland,0,0,0,35,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Water,0,0,0,0,0,0,0,0,152,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Wetland,0,0,0,47,0,0,0,0,53,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Bareland,0,0,0,6,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,Forest,0,0,0,144,0,0,0,0,78,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Forest,0,31,135,61,178,149,0,13,0,168,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Grassland,89,24,40,2,0,34,0,9,0,122,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Bareland,15,5,0,6,25,4,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Built-up,7,0,1,1,22,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Water,94,14,79,0,62,206,0,0,0,104,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Wetland,3,0,1,0,8,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Cropland,9,0,0,0,6,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
