Dataset,MajorityClass,Forest,Wetland,Built-up,Water,Grassland,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Grassland,104,6,2,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Non_Wetland,10,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Wetland,405,0,0,300,787,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Bareland,84,2,3,31,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Built-up,163,0,0,20,240,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Water,524,119,1,0,874,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Shrubland,13,0,0,0,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Cropland,14,0,0,0,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R,Forest,0,26,14,247,673,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Non_Wetland,1,8,0,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Grassland,16,278,14,148,0,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Bareland,5,51,1,53,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Built-up,17,113,0,48,43,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Water,103,833,23,0,39,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Forest,0,978,54,587,309,315,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Shrubland,2,11,1,4,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Wetland,14,0,3,426,56,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Cropland,1,15,1,23,3,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Grassland,0,23,0,15,0,0,459,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Wetland,0,0,0,37,0,0,643,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Forest,0,241,0,109,0,0,1424,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Water,0,390,0,0,0,0,731,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Shrubland,0,0,0,0,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Cropland,0,0,0,0,0,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Bareland,0,9,0,0,0,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,Built-up,0,16,0,26,0,0,155,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Non_Wetland,0,9,0,2,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Forest,0,688,238,358,361,594,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Grassland,1,240,55,85,0,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Wetland,26,0,28,304,96,164,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Water,75,584,105,0,86,438,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Shrubland,0,9,7,6,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Cropland,0,21,12,5,1,10,0,0,0,0,0,0
