,0
Forest,7776
Water,6916
Grassland,6435
Bareland,3783
Wetland,2763
Non_Wetland,1120
Built-up,1079
Cropland,965
Shrubland,881
Non_Water,438
Permanent_ice_and_snow,28
Lichens_and_Mosses,27
