Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Grassland,532,82,98,43,123,80,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Shrubland,30,1,3,2,6,2,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Cropland,333,0,108,4,69,13,523,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Non_Wetland,2,0,1,4,3,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Wetland,68,0,3,0,16,19,152,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Bareland,278,36,90,14,0,99,562,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Built-up,124,13,0,1,45,1,225,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Water,913,10,21,141,304,0,1164,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Non_Water,1,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Lichens_and_Mosses,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Forest,0,22,64,74,45,139,744,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNQ_M_R,Permanent_ice_and_snow,1,0,0,0,12,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Grassland,72,198,74,213,667,249,0,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Bareland,2,79,12,46,0,54,115,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Forest,0,105,63,283,727,431,748,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Non_Wetland,0,0,0,14,3,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Non_Water,0,0,0,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Water,178,76,26,97,850,0,584,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Shrubland,1,6,4,19,28,4,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Built-up,2,20,0,29,148,3,79,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Wetland,12,10,0,0,71,102,73,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Cropland,15,0,85,55,327,33,285,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Lichens_and_Mosses,0,1,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNQ_M_R,Permanent_ice_and_snow,0,6,0,23,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNQ_M_R,Shrubland,4,0,1,4,8,14,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNQ_M_R,Grassland,149,0,64,105,256,349,0,183,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNQ_M_R,Cropland,125,0,74,22,173,72,473,120,0,0,0,0
