Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Shrubland,3,1,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Grassland,0,5,4,23,4,7,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Cropland,73,1,36,55,5,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Wetland,85,0,9,78,0,66,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Lichens_and_Mosses,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Bareland,72,3,0,59,1,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Built-up,13,0,14,22,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Water,178,51,97,179,2,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Forest,114,43,63,0,13,60,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R,Permanent_ice_and_snow,2,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Grassland,0,9,0,0,0,3,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Forest,0,45,0,0,0,24,0,110,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Wetland,0,0,0,0,0,6,0,51,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Bareland,0,17,0,0,0,13,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Water,0,63,0,0,0,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,Cropland,0,10,0,0,0,6,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Grassland,0,0,0,0,0,43,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Cropland,0,0,0,0,0,40,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Wetland,0,0,0,0,0,115,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Bareland,0,0,0,0,0,77,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Water,0,0,0,0,0,0,0,0,196,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Forest,0,0,0,0,0,155,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,Built-up,0,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Water,61,63,75,93,45,0,14,0,0,79,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Cropland,28,10,22,28,14,6,0,0,0,33,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Wetland,5,0,8,21,0,6,2,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Bareland,32,17,0,36,34,13,9,0,0,35,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Built-up,9,0,5,7,0,1,4,0,0,8,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Forest,66,45,62,0,44,24,34,0,0,74,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Grassland,0,9,11,23,4,3,6,0,0,12,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Grassland,0,10,4,33,16,22,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Wetland,0,0,26,38,13,37,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Built-up,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Water,0,69,84,92,44,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Forest,0,62,14,0,43,62,26,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Bareland,0,0,0,19,6,48,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Cropland,0,3,2,30,10,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Water,49,31,77,115,0,0,109,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Wetland,29,0,28,53,0,31,40,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Built-up,2,0,1,4,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Forest,29,11,28,0,0,29,41,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Cropland,1,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Grassland,0,2,8,14,0,7,9,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,Bareland,0,0,0,9,0,8,10,0,0,0,0,1
