Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Shrubland,Grassland,Cropland,Bareland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Grassland,98,14,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Shrubland,12,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Wetland,53,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Forest,317,119,75,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Water,78,121,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Grassland,0,39,15,6,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Shrubland,0,8,3,3,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Forest,0,166,130,0,60,313,5,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Wetland,0,0,83,3,2,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Water,0,72,0,33,2,134,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Built-up,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,Bareland,0,0,5,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Shrubland,0,0,0,15,0,18,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Grassland,0,17,6,44,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Wetland,0,0,21,54,0,106,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Forest,0,12,45,0,0,194,0,39,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Water,0,47,0,186,0,99,0,24,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Built-up,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R,Bareland,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Shrubland,0,1,0,9,0,10,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Grassland,0,45,4,43,19,0,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Forest,0,204,109,0,78,175,0,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Wetland,0,0,26,57,8,39,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Water,0,180,0,112,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Built-up,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,Bareland,0,3,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Grassland,0,14,4,56,80,0,0,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Forest,0,119,75,0,198,115,14,17,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Wetland,0,0,2,17,26,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Water,0,121,0,101,47,13,0,3,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Shrubland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,Bareland,0,0,0,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMG_M_R,Wetland,0,0,25,0,0,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMG_M_R,Water,0,0,0,0,0,0,0,0,0,81,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMG_M_R,Forest,0,0,59,0,0,0,0,0,0,39,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMG_M_R,Grassland,0,0,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Grassland,0,3,5,51,0,0,0,2,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Water,0,20,0,79,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Forest,0,17,116,0,0,0,1,1,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Wetland,0,0,39,26,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Shrubland,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMG_M_R,Forest,0,20,108,0,0,12,14,20,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMG_M_R,Wetland,0,0,55,105,0,16,0,0,0,0,0
