Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Bareland,Water,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Shrubland,69,6,30,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Grassland,0,115,232,56,28,40,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Non_Wetland,7,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Bareland,66,13,18,33,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Forest,857,181,0,122,58,224,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Cropland,578,0,345,144,158,67,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Wetland,252,9,174,5,14,165,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Non_Water,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Built-up,241,100,191,0,91,36,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R,Water,653,46,524,68,138,0,100,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Non_Wetland,1,0,1,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Shrubland,11,0,5,2,2,6,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Grassland,0,0,99,52,40,84,184,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Cropland,294,0,176,152,202,96,189,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Wetland,5,0,7,0,2,112,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Forest,267,0,0,84,81,348,664,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Bareland,2,0,3,17,0,46,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Built-up,54,0,28,0,122,60,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,Water,69,0,120,45,31,0,453,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Grassland,0,38,91,30,40,50,228,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Non_Wetland,0,0,1,0,0,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Forest,198,88,0,62,181,167,681,139,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Shrubland,5,2,2,0,1,3,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Bareland,13,3,4,11,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Cropland,241,0,129,144,185,37,179,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Built-up,98,20,20,0,149,3,57,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Wetland,3,0,39,1,8,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,Water,1,7,191,61,199,0,459,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Grassland,0,0,0,0,0,23,29,0,386,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Wetland,0,0,0,0,0,6,0,0,390,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Forest,0,0,0,0,0,89,158,0,1171,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Shrubland,0,0,0,0,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Cropland,0,0,0,0,0,14,13,0,349,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Water,0,0,0,0,0,0,272,0,556,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Built-up,0,0,0,0,0,11,3,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,Bareland,0,0,0,0,0,5,3,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Grassland,0,412,221,133,32,23,29,251,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Wetland,5,85,151,7,13,6,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Built-up,17,236,54,0,6,11,3,85,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Forest,205,665,0,182,122,89,158,390,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Bareland,0,109,9,107,0,5,3,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Water,30,496,400,151,154,0,272,143,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Shrubland,0,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,Cropland,53,0,149,189,9,14,13,191,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Water,0,0,0,0,0,0,0,0,0,0,690,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Cropland,0,0,0,0,0,32,0,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Bareland,0,0,0,0,0,14,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Wetland,0,0,0,0,0,42,0,0,0,0,199,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Built-up,0,0,0,0,0,25,0,0,0,0,33,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Forest,0,0,0,0,0,172,0,0,0,0,277,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,Grassland,0,0,0,0,0,36,0,0,0,0,95,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Grassland,0,603,158,170,0,51,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Bareland,0,83,0,68,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Forest,0,701,0,319,0,343,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Shrubland,0,29,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Wetland,0,212,64,27,1,131,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Built-up,0,130,11,0,2,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Water,0,506,120,129,4,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,Cropland,0,0,50,156,2,9,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Forest,156,78,0,0,17,92,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Cropland,198,0,244,0,43,74,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Wetland,100,14,240,0,2,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Water,112,21,439,0,10,0,72,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Bareland,10,7,11,0,0,10,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Shrubland,6,3,28,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Built-up,110,104,149,0,40,73,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,Grassland,0,69,160,0,5,30,7,0,0,0,0,0
