Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Built-up,Bareland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Wetland,61,30,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Grassland,49,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Shrubland,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Forest,366,37,91,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Built-up,24,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Bareland,3,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Water,160,0,161,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Wetland,0,46,0,183,173,3,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Shrubland,0,0,0,4,6,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Grassland,0,0,1,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Water,0,0,85,182,212,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Forest,0,29,3,117,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Bareland,0,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Built-up,0,0,0,10,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,Wetland,0,112,0,0,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,Water,0,0,0,0,0,0,0,126,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,Bareland,0,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,Forest,0,65,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Shrubland,0,0,4,2,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Grassland,0,0,38,0,7,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Forest,0,110,306,51,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Wetland,0,146,0,25,14,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Built-up,0,0,17,1,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Water,0,0,308,3,20,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Bareland,0,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Cropland,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Grassland,0,3,3,0,9,1,1,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Forest,0,37,91,66,0,35,32,0,100,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Wetland,0,30,0,4,15,7,6,0,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Water,0,0,161,32,78,37,36,0,38,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Bareland,0,0,2,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Built-up,0,0,1,1,2,0,2,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Cropland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Shrubland,0,4,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Forest,0,76,194,141,0,0,0,0,1,19,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Grassland,0,6,22,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Wetland,0,167,0,86,8,0,0,0,0,5,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Built-up,0,6,8,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Water,0,0,190,83,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Bareland,0,6,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Cropland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Water,0,0,60,0,44,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Grassland,0,3,0,0,11,16,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Forest,0,135,25,0,0,38,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Wetland,0,112,0,0,64,25,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
