Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Shrubland,423,93,75,116,191,76,128,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Non_Wetland,9,0,0,2,8,0,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Grassland,0,66,76,45,190,149,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Bareland,324,0,100,69,108,79,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Built-up,318,100,0,12,157,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Water,1589,451,30,0,820,184,293,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Forest,1200,139,187,384,0,288,113,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Cropland,908,247,214,108,486,0,66,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Wetland,246,11,0,73,81,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R,Non_Water,2,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Non_Wetland,2,1,0,7,3,0,15,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Shrubland,99,75,23,71,52,0,100,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Grassland,0,93,48,124,156,0,150,261,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Cropland,618,242,230,207,433,0,215,637,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Wetland,29,16,0,130,26,0,0,113,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Bareland,169,0,69,154,68,0,14,131,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Built-up,141,129,0,46,83,0,15,192,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Water,449,225,45,0,475,0,383,939,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,Forest,550,294,129,551,0,0,567,1048,0,0,0
