Dataset,MajorityClass,Forest,Water,Built-up,Bareland,Grassland,Cropland,Non_Wetland,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Grassland,283,59,15,97,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Non_Wetland,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Bareland,73,113,6,0,184,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Built-up,86,10,0,29,107,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Water,748,0,3,491,747,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Forest,0,287,6,280,633,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Non_Water,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Shrubland,3,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Cropland,24,2,1,3,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Wetland,24,10,0,3,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Grassland,0,81,0,0,0,0,216,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Water,0,0,0,0,0,0,239,138,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Cropland,0,0,0,0,0,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Bareland,0,65,0,0,0,0,106,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Forest,0,175,0,0,0,0,474,102,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Built-up,0,3,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,Wetland,0,1,0,0,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Grassland,111,221,43,225,0,0,0,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Non_Wetland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Bareland,143,274,9,0,198,0,0,118,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Built-up,5,8,0,53,42,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Water,485,0,17,215,527,0,0,434,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Forest,0,475,45,228,468,0,0,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Non_Water,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Shrubland,1,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Cropland,10,8,4,13,20,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Wetland,4,8,0,1,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Forest,0,487,65,559,835,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Grassland,22,154,64,253,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Bareland,1,258,7,0,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Non_Water,0,1,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Water,108,0,96,522,713,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Shrubland,0,2,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Cropland,0,13,12,14,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Wetland,0,16,0,6,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Built-up,3,16,0,51,48,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,Permanent_ice_and_snow,0,2,0,1,0,0,0,0,0,0,0,0
