Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Shrubland,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Non_Wetland,10,7,3,4,4,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Shrubland,31,48,14,25,0,43,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Grassland,391,0,85,340,239,270,152,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Wetland,0,1183,1516,815,398,1127,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Bareland,244,282,447,275,112,0,247,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Built-up,141,294,166,184,97,334,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Forest,811,878,563,0,404,842,398,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Water,523,358,0,339,51,605,147,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Cropland,87,131,27,86,46,100,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNT_M_R,Permanent_ice_and_snow,3,3,1,3,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Non_Wetland,14,12,0,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Forest,750,1726,61,0,0,200,290,35,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Shrubland,55,179,0,49,0,12,19,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Grassland,185,0,6,298,0,33,61,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Wetland,0,2332,311,739,0,471,158,364,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Bareland,439,964,202,260,0,0,130,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Built-up,101,637,56,435,0,230,0,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Water,1011,931,0,431,0,453,84,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Cropland,47,304,2,94,0,22,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNT_M_R,Permanent_ice_and_snow,1,11,0,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Wetland,0,0,189,0,0,0,0,0,2052,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Shrubland,0,0,0,0,0,0,0,0,131,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Grassland,156,0,10,0,0,0,0,0,1076,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Forest,767,0,102,0,0,0,0,0,2097,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Bareland,373,0,61,0,0,0,0,0,913,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Built-up,176,0,15,0,0,0,0,0,390,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Cropland,18,0,0,0,0,0,0,0,225,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Water,856,0,0,0,0,0,0,0,847,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Grassland,412,0,35,116,311,555,238,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Non_Wetland,9,4,1,2,7,8,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Wetland,0,863,704,581,795,1468,175,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Built-up,175,146,40,43,157,579,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Forest,910,899,161,0,857,1337,508,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Bareland,154,57,99,22,102,0,130,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Water,711,155,0,308,166,1123,107,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Shrubland,37,17,1,2,0,44,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Cropland,119,60,6,3,56,222,93,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNT_M_R,Permanent_ice_and_snow,2,0,1,0,1,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Bareland,0,0,721,0,0,0,0,0,0,300,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Grassland,0,0,135,0,0,0,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Wetland,0,0,1561,0,0,0,0,0,0,969,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Built-up,0,0,264,0,0,0,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Shrubland,0,0,12,0,0,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Forest,0,0,504,0,0,0,0,0,0,231,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Cropland,0,0,8,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNT_M_R,Water,0,0,0,0,0,0,0,0,0,537,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Wetland,0,309,201,449,300,237,76,295,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Grassland,166,0,10,334,218,88,76,265,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Bareland,471,255,98,275,381,0,295,570,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Built-up,204,315,19,197,317,96,0,310,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Forest,860,996,122,0,550,276,303,592,0,0,56,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Water,1075,186,0,313,286,212,162,315,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Shrubland,0,13,0,10,0,10,1,19,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Cropland,18,46,0,65,32,6,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNT_M_R,Permanent_ice_and_snow,0,0,0,3,1,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Grassland,204,0,80,353,0,21,414,386,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Wetland,0,0,812,1025,0,139,669,907,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Forest,276,0,351,0,0,44,868,325,0,0,0,1
