Dataset,MajorityClass,Forest,Bareland,Water,Grassland,Wetland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Grassland,31,7,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Bareland,49,0,122,120,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Water,402,231,0,309,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Cropland,8,8,4,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Wetland,17,13,23,14,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Forest,0,236,338,426,2,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,Grassland,0,0,1,0,3,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,Water,0,0,0,0,230,0,264,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,Forest,0,0,82,0,153,0,442,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,Bareland,0,0,11,0,31,0,123,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Grassland,21,33,6,0,40,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Water,311,20,0,137,359,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Cropland,2,1,1,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Forest,0,48,246,273,435,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Bareland,97,0,111,76,130,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,Wetland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Forest,0,214,490,490,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Grassland,2,11,26,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Cropland,0,3,5,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Wetland,1,8,25,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Water,112,255,0,193,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Bareland,0,0,221,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Grassland,32,8,1,0,3,21,0,17,2,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Water,321,156,0,191,230,50,0,299,9,40,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Bareland,93,0,11,68,31,6,0,84,4,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Forest,0,173,82,239,153,93,0,276,17,89,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,Cropland,3,1,0,4,0,0,0,5,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,Grassland,0,0,24,0,0,0,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,Wetland,0,0,22,0,0,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,Forest,0,0,452,0,0,0,0,0,0,0,334,0
