Dataset,MajorityClass,Cropland,Built-up,Water,Forest,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Grassland,155,54,36,159,17,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Non_Wetland,2,1,2,11,1,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Bareland,83,66,67,147,2,0,178,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Built-up,76,0,51,129,6,94,147,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Water,181,129,0,615,138,307,551,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Forest,171,124,179,0,88,136,428,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Cropland,0,93,59,227,23,97,281,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Wetland,46,16,110,233,0,24,238,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Non_Water,1,0,0,4,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Shrubland,23,12,7,41,9,13,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Lichens_and_Mosses,5,1,0,4,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R,Permanent_ice_and_snow,0,1,0,12,0,9,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Non_Wetland,0,5,3,2,7,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Grassland,0,98,94,58,92,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Cropland,0,217,136,88,92,139,124,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Bareland,0,124,146,32,5,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Built-up,0,0,60,44,13,69,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Water,0,434,0,177,213,156,128,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Forest,0,290,262,0,265,188,150,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Non_Water,0,2,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Shrubland,0,31,15,16,15,16,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Wetland,0,65,144,24,0,10,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Lichens_and_Mosses,0,3,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,Permanent_ice_and_snow,0,7,15,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Grassland,95,65,36,61,113,42,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Built-up,31,0,38,28,51,87,28,0,0,0,0,0
