Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Shrubland,247,70,29,25,23,59,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Non_Wetland,4,2,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Grassland,0,187,242,84,56,194,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Bareland,766,144,39,0,92,62,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Built-up,693,330,183,301,0,55,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Water,1794,393,241,666,193,892,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Forest,1444,0,273,151,210,584,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Cropland,940,330,0,230,171,128,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Wetland,1365,438,173,303,65,0,304,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Lichens_and_Mosses,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R,Permanent_ice_and_snow,76,20,5,13,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Non_Wetland,0,3,0,1,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Shrubland,52,52,0,11,17,4,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Grassland,0,240,0,71,124,105,100,236,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Cropland,475,237,0,163,449,107,118,239,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Bareland,46,45,0,0,312,10,268,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Built-up,136,98,0,163,0,60,211,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Forest,452,0,0,331,301,368,271,652,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Water,128,575,0,376,301,238,0,211,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Wetland,100,720,0,687,49,0,816,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,Permanent_ice_and_snow,10,6,0,13,1,0,17,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBP_M_R,Wetland,0,0,0,0,0,0,52,0,2242,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBP_M_R,Shrubland,0,0,0,0,0,0,0,0,194,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBP_M_R,Forest,0,0,0,0,0,451,35,0,1464,0,0,0
