Dataset,MajorityClass,Forest,Built-up,Grassland,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Grassland,56,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Shrubland,36,2,66,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Non_Wetland,8,0,6,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Wetland,146,0,249,79,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Bareland,82,4,136,21,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Water,243,0,269,0,43,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Cropland,22,0,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Built-up,7,0,20,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R,Forest,0,4,305,67,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Shrubland,12,0,11,5,30,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Non_Wetland,2,0,1,0,10,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Grassland,38,0,0,15,94,30,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Bareland,10,0,11,24,58,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Forest,0,0,167,178,382,181,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Water,90,0,26,0,265,74,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Cropland,3,0,11,0,8,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Wetland,26,0,2,152,0,12,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,Built-up,6,0,2,1,10,3,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,Grassland,8,0,0,2,15,44,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,Non_Wetland,0,0,3,0,8,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,Forest,0,0,316,101,168,201,290,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
