Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Water,Forest,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Non_Wetland,1,3,9,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Wetland,5,113,0,25,80,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Grassland,5,0,142,26,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Forest,4,258,450,43,118,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Shrubland,0,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Cropland,0,6,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Water,0,84,303,38,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Bareland,1,2,3,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,Built-up,0,5,0,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Non_Wetland,2,2,4,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Grassland,13,0,77,11,33,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Wetland,5,38,0,0,170,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Cropland,0,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Bareland,0,1,2,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Forest,31,103,247,15,147,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,Water,1,19,204,0,0,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Non_Wetland,0,7,1,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Grassland,0,0,55,15,7,89,12,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Wetland,0,277,0,21,122,265,19,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Bareland,0,34,6,0,16,11,3,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Shrubland,0,5,3,2,1,4,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Cropland,0,43,3,14,1,26,0,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Built-up,0,20,0,12,4,19,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Water,0,209,225,61,0,402,15,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Forest,0,290,119,40,66,0,41,22,0,0,0,0
