Dataset,MajorityClass,Forest,Bareland,Grassland,Wetland,Water,Built-up,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Grassland,14,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Non_Wetland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Water,105,4,44,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Shrubland,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Wetland,20,6,24,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Bareland,3,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Forest,0,3,72,0,70,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R,Built-up,2,4,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Grassland,0,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Forest,0,0,0,114,30,0,214,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Water,0,0,0,124,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,Bareland,0,0,0,9,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Grassland,8,7,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Non_Wetland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Water,41,0,20,128,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Shrubland,2,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Wetland,1,0,6,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Bareland,1,0,3,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Forest,0,10,75,205,114,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,Built-up,3,2,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Forest,0,28,132,65,136,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Grassland,0,0,0,10,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Shrubland,0,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Wetland,2,14,13,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Water,17,37,37,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Bareland,0,0,2,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,Built-up,0,0,5,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Grassland,15,7,0,0,0,10,0,6,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Forest,0,61,62,114,30,11,0,31,29,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Water,54,36,30,124,0,1,0,12,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Bareland,3,0,0,9,1,2,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,Built-up,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,Wetland,0,0,0,0,13,0,0,0,0,21,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,Water,0,0,0,0,0,0,0,0,0,98,0
