Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Grassland,0,7,10,3,8,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Cropland,52,1,40,12,11,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Wetland,144,0,78,9,80,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Bareland,105,14,0,19,51,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Built-up,30,5,22,0,11,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Water,223,79,174,18,0,192,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Forest,126,33,98,19,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYF_M_R,Permanent_ice_and_snow,8,0,8,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Forest,0,40,0,0,22,0,123,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Wetland,0,0,0,0,14,0,161,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Water,0,63,0,0,0,0,113,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Grassland,0,11,0,0,8,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Bareland,0,28,0,0,16,0,66,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Built-up,0,4,0,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYF_M_R,Cropland,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Shrubland,0,0,0,0,5,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Grassland,0,0,0,0,35,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Cropland,0,0,0,0,31,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Wetland,0,0,0,0,148,0,0,55,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Bareland,0,0,0,0,129,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Built-up,0,0,0,0,35,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Water,0,0,0,0,0,0,0,179,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Forest,0,0,0,0,164,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYF_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Water,52,63,48,53,0,101,0,0,144,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Cropland,8,0,4,8,0,22,0,0,55,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Wetland,9,0,5,14,14,36,0,0,62,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Bareland,48,28,0,49,16,63,0,0,101,43,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Built-up,10,4,8,0,1,12,0,0,25,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Forest,44,40,39,49,22,0,0,0,108,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Grassland,0,11,1,6,8,23,0,0,36,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYF_M_R,Permanent_ice_and_snow,4,0,0,1,0,4,0,0,9,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Water,0,135,101,122,0,77,0,0,0,40,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Grassland,0,36,7,17,14,21,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Wetland,0,0,33,61,60,33,0,0,0,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Forest,0,80,34,73,63,0,0,0,0,26,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Bareland,0,53,0,60,42,30,0,0,0,19,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Built-up,0,2,1,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Cropland,0,14,3,23,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYF_M_R,Permanent_ice_and_snow,0,0,0,8,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Water,51,71,102,0,0,115,0,0,0,53,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Wetland,29,0,53,0,45,60,0,0,0,28,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Built-up,4,2,12,0,7,14,0,0,0,7,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Forest,19,16,36,0,24,0,0,0,0,20,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Grassland,0,1,11,0,4,12,0,0,0,4,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Bareland,0,1,0,0,18,15,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYF_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
