Dataset,MajorityClass,Forest,Wetland,Cropland,Water,Built-up,Grassland,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Grassland,97,73,12,16,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Non_Wetland,6,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Wetland,351,0,55,302,26,632,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Bareland,23,21,0,11,1,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Forest,0,60,1,85,23,256,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Shrubland,7,0,0,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Water,381,294,0,0,22,174,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Cropland,9,8,0,8,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Built-up,102,6,0,25,0,80,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,Non_Wetland,1,7,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,Grassland,56,335,0,32,3,0,43,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,Wetland,83,0,0,464,7,106,50,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,Bareland,7,63,0,20,0,9,0,0,0,0,0,0
