Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Shrubland,2,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Grassland,0,1,1,10,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Cropland,11,0,0,8,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Wetland,43,0,0,14,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Bareland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Built-up,6,0,0,6,4,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Forest,44,3,8,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R,Water,31,3,2,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,Grassland,0,9,0,0,0,1,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,Forest,0,25,0,0,0,7,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,Wetland,0,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,Water,0,22,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,Grassland,0,0,0,0,0,8,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,Wetland,0,0,0,0,0,11,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,Forest,0,0,0,0,0,23,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,Built-up,0,0,0,0,0,1,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,Water,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Cropland,8,0,0,5,1,0,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Wetland,3,0,0,6,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Built-up,5,0,0,2,3,0,0,0,7,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Water,13,22,2,16,1,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Forest,29,25,5,0,4,7,0,0,27,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,Grassland,0,9,1,8,0,1,0,0,9,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Grassland,0,9,8,12,1,11,0,0,0,7
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Forest,0,13,9,0,3,18,0,0,0,9
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Wetland,0,0,5,7,0,7,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Cropland,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,Water,0,2,1,14,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,Wetland,8,0,0,18,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,Water,3,4,0,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,Forest,8,3,0,0,0,2,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,Grassland,0,5,0,10,0,3,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,Built-up,0,0,0,4,0,0,0,0,0,1
